PROYECTO_ID,CONVOCATORIA_ID,ANO_CONVOCATORIA,DESC_CONVOCATORIA,CODIGO_PROYECTO,TITULO_PROYECTO,FECHA_REGISTRO,FECHA_APROBACION,ENTIDAD_EJECUTA,TIPO_FINANCIACION,DESC_FINANCIACION,COD_PROG_CTI,NME_PROG_CTI,COD_AREA_TEMATICA,AREA_TEMATICA,COD_AREA_CIENCIA,NME_AREA_CIENCIA,ESTADO_PROYECTO,COD_DANE_CIUDAD_ENTIDAD,NME_CIUDAD_ENTIDAD,COD_DANE_DEPTO_ENTIDAD,NME_DEPTO_ENTIDAD,COD_DANE_CIUDAD_PRY,NME_CIUDAD_PRY,COD_DANE_DEPTO_PRY,NME_DEPTO_PRY,TPO_PROYECTO,NME_TIPO_PROYECTO,MONTO_FINANCIADO_AP,MONTO_CONTRAPARTIDA_AP,MONTO_TOTAL_AP
54756,11324,2016,744 - CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD - 2016,212074455505,Susceptibilidad a Anfotericina B en aislamientos clinicos de especies de Leishmania y en aislamientos expuestos a Miltefosina,24/05/2016,31/03/2017,No disponible,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11629,ENFERMEDADES INFECCIOSAS-ENFERMEDADES TRANSMITIDAS POR VECTORES - ETV.,X,No disponible,CODIFICADO,00000,No disponible,00,No disponible,11001,BOGOTA D.C.,11,BOGOTA D.C.,P,Proyecto,0,0,0
54906,11324,2016,744 - CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD - 2016,210474455818,Estudio del efecto de la infeccion por virus ZIKA sobre la citomorfologia la neurobioquimica y el neurodesarrollo en modelos in vivo e in vitro,24/05/2016,31/03/2017,No disponible,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11629,ENFERMEDADES INFECCIOSAS-ENFERMEDADES TRANSMITIDAS POR VECTORES - ETV.,X,No disponible,CODIFICADO,00000,No disponible,00,No disponible,11001,BOGOTA D.C.,11,BOGOTA D.C.,P,Proyecto,0,0,0
54846,11324,2016,744 - CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD - 2016,130874455696,Sindrome febril por arbovirus en ninos de Cali-Colombia diagnostico integrado y herramientas para la clasificacion de la severidad,12/06/2016,31/03/2017,No disponible,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11629,ENFERMEDADES INFECCIOSAS-ENFERMEDADES TRANSMITIDAS POR VECTORES - ETV.,X,No disponible,CODIFICADO,00000,No disponible,00,No disponible,11001,BOGOTA D.C.,11,BOGOTA D.C.,P,Proyecto,0,0,0
54778,11324,2016,744 - CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD - 2016,210474455553,Competencia vectorial de cepas de Stegomyia aegypti L. y Stegomyia albopicta S. (Diptera Culicidae) ante la infeccion con cepas los virus dengue 2 zika y chikungunya circulantes en Colombia,09/06/2016,31/03/2017,No disponible,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11629,ENFERMEDADES INFECCIOSAS-ENFERMEDADES TRANSMITIDAS POR VECTORES - ETV.,X,No disponible,CODIFICADO,00000,No disponible,00,No disponible,11001,BOGOTA D.C.,11,BOGOTA D.C.,P,Proyecto,0,0,0
54797,11324,2016,744 - CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD - 2016,111574455595,MOLECULAS SINTETICAS CON POTENCIAL ANTI-DENGUE COMO UNA ALTERNATIVA PARA EL CONTROL DE LA INFECCION IN VITRO POR VIRUS ZIKA,24/05/2016,31/03/2017,No disponible,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11629,ENFERMEDADES INFECCIOSAS-ENFERMEDADES TRANSMITIDAS POR VECTORES - ETV.,X,No disponible,CODIFICADO,00000,No disponible,00,No disponible,05001,MEDELLIN,05,ANTIOQUIA,P,Proyecto,0,0,0
54630,11324,2016,744 - CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD - 2016,111574455028,Evaluacion del papel de la vitamina D en la expresion de receptores tipo Toll citoquinas y microRNA en respuesta a la infeccion por los virus Chikungunya y Zika,24/05/2016,31/03/2017,No disponible,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11629,ENFERMEDADES INFECCIOSAS-ENFERMEDADES TRANSMITIDAS POR VECTORES - ETV.,X,No disponible,CODIFICADO,00000,No disponible,00,No disponible,05001,MEDELLIN,05,ANTIOQUIA,P,Proyecto,0,0,0
54745,11324,2016,744 - CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD - 2016,111374455483,Prediccion y evaluacion de peptidos inhibidores de proteinas ROP cinasas de Toxoplasma gondii como posible estrategia anti-toxoplasma.,23/05/2016,31/03/2017,No disponible,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11633,ZOONOSIS,X,No disponible,CODIFICADO,00000,No disponible,00,No disponible,63001,ARMENIA,63,QUINDIO,P,Proyecto,0,0,0
54884,11324,2016,744 - CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD - 2016,111274455774,CARACTERIZACION EPIDEMIOLOGICA DE LA LEPTOSPIROSIS HUMANA EN EL DEPARTAMENTO DE CORDOBA FORTALECIMIENTO DEL DIAGNOSTICO VIGILANCIA Y CONTROL,13/06/2016,31/03/2017,No disponible,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11633,ZOONOSIS,X,No disponible,CODIFICADO,00000,No disponible,00,No disponible,23001,MONTERIA,23,CORDOBA,P,Proyecto,0,0,0
54667,11324,2016,744 - CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD - 2016,651774455193,Impacto del incremento de los niveles de luminosidad en el salon de clases y del tiempo empleado en actividades al aire libre durante el recreo en la progresion de la miopia en ninos en edad escolar en Bucaramanga Colombia,20/05/2016,31/05/2017,No disponible,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11636,SALUD BUCAL VISUAL Y AUDITIVA.,X,No disponible,CODIFICADO,00000,No disponible,00,No disponible,68001,BUCARAMANGA,68,SANTANDER,P,Proyecto,0,0,0
54652,11324,2016,744 - CONVOCATORIA PARA PROYECTOS DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD - 2016,110774455079,Evaluacion de un producto recombinante de Ascaris lumbricoides con capacidad inmunomoduladora en el tratamiento de artritis reumatoide y lupus eritematoso sistemico,19/05/2016,31/03/2017,No disponible,RC,RECUPERACION CONTINGENTE,154,PROGRAMA NACIONAL DE CIENCIA TECNOLOGIA E INNOVACION EN SALUD,11637,TRASTORNOS DEGENERATIVOS NEUROPATIAS Y AUTOINMUNES.,X,No disponible,CODIFICADO,00000,No disponible,00,No disponible,13001,CARTAGENA DE INDIAS,13,BOLIVAR,P,Proyecto,0,0,0
